,Memory CD4 T cell,Naive CD8 T cell,Naive CD4 T cell,CD16 NK cell,GZMK CD8 T cell,Memory B cell,CD16 monocyte,PreB cell,MHCII low CD14 monocyte,GZMB CD8 T cell,Tissue-resident NK cell,Treg cell,MHCII high CD14 monocyte,Naive B cell,MAIT cell,CD56 NK cell,Myelocyte,pDC,Cycling preB cell,S100A+ preNeutrophil,Megakaryocyte progenitor,Cycling proB cell,Plasma cell,Cycling S100A+ preNeutrophil,Cycling T/NK cell,Early SOX4+ erythroblast,Gamma delta T cell,Hematopoietic stem cell,cDC2,Megakaryocyte,INF-activated T cell,Intermediate EPCAM+ erythroblast,ILC,Fetal HBG+ erythrocyte,Fibroblast,Mesenchymal stromal cell,Megakaryocyte–erythroid progenitor,Late hemoglobin+ erythroblast,ProB cell,Promyelocyte,Cycling cDC2,Common myeloid progenitor,Myeloid pre-pDC,Granulocyte-monocyte progenitor,Common lymphoid progenitor,Red blood cell,Lymphoid pre-pDC,Macrophage,cDC1,Mast cell,Multipotent progenitor,Common dendritic progenitor,Osteoclast,Metamyelocyte/Band neutrophil
e78ff499-037b-450a-ac04-6fb3a9e124a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21523375840022976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08735847655947072,0.0,0.0,0.0,0.0,0.06539076784843978,0.1873490974881374,0.0,0.0,0.0,0.0,0.0635077902970822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811601094066401
c1f908ce-f6d5-4557-a4bf-956b71b8bf61,0.0,0.0,0.0,0.0,0.05163355758654526,0.0,0.0,0.0,0.00018877638879140308,0.0,0.10134954922044505,0.0,0.3152559364854621,0.06172717620905256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06399213439621164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005656275617261742,0.0,0.0,0.0,0.40019659409623015
92c7e4d6-eb53-46c5-9721-5edccd60bcc9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772001547098336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913903136825066,0.0,0.0,0.0,0.0,0.0,0.15301612325146416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47839340835619565
eb14339d-fefa-46c3-99a6-55268384361a,0.0,0.0,0.0,0.0,0.024507740748112742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4317949997579032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23328966654588068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08759682839861764,0.0,0.0,0.0,0.2228107645494858
9f0a0548-e8b4-4c44-94e7-9d5e793e5601,0.0,0.0,0.0,0.0,0.10117271563194928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493976509670008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16946905571561985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799605776854299
a086aba1-0df5-497b-85e7-bc84aac1acec,0.0,0.0,0.0,0.0,0.02514368349046996,0.0,0.0,0.0,0.0,0.0,0.0622019102420551,0.0,0.0,0.35500330449048856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15585554186752115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08697765739633762,0.0,0.0,0.0,0.31481790251312763
69da7e4d-57d3-40d6-92af-3cd1aaf9e0ec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46343509157413526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499992639936884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615649820264959
ada38f3e-8020-4394-9e7c-50d06dd04769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098095763657512,0.0,0.0,0.0,0.41576697369379584,0.04591670207217808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05786001893506855,0.0,0.0,0.0,0.0,0.12048529840130319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15016143053190326
a7a567fa-847e-49c6-b404-f2257e00b00d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28321935194075654,0.10771281109298868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095903948917644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131638880486107
d1848a5f-053a-4db4-ab4e-c5eb311bc3a0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15256068163808237,0.0,0.0,0.0,0.546827639774173,0.01807712906422637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11398128205507255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16855326746844548
ebf4703c-7517-492f-8ea3-134e798ac820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43576831816598915,0.03159632018813818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09428228744860113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4383530741972715
